abaisseront,a.bɛ.sə.ʁɔ̃,,['verbe']
abaisses,a.bɛs,f,"['nom', 'verbe']"
abaissés,a.be.se,,"['verbe', 'adjectif']"
abaisseur,a.bɛ.sœʁ,m,"['nom', 'adjectif']"
abaisseurs,a.bɛ.sœʁ,m,"['nom', 'adjectif']"
abaissez,a.bɛ.se,,['verbe']
abaissiez,a.bɛ.sje,,['verbe']
abaissions,a.bɛ.sjɔ̃,,['verbe']
abaissons,a.bɛ.sɔ̃,,['verbe']
abajoue,a.ba.ʒu,f,['nom']
abajoues,a.ba.ʒu,f,['nom']
abandon,a.bɑ̃.dɔ̃,m,['nom']
abandonna,a.bɑ̃.dɔ.na,,['verbe']
abandonnai,a.bɑ̃.dɔ.ne,,['verbe']
abandonnaient,a.bɑ̃.dɔ.nɛ,,['verbe']
abandonnais,a.bɑ̃.dɔ.nɛ,,['verbe']
abandonnait,a.bɑ̃.dɔ.nɛ,,['verbe']
abandonnâmes,a.bɑ̃.dɔ.nam,,['verbe']
abandonnant,a.bɑ̃.dɔ.nɑ̃,,['verbe']
abandonnas,a.bɑ̃.dɔ.na,,['verbe']
abandonnasse,a.bɑ̃.dɔ.nas,,['verbe']
abandonnassent,a.bɑ̃.dɔ.nas,,['verbe']
abandonnasses,a.bɑ̃.dɔ.nas,,['verbe']
abandonnassiez,a.bɑ̃.dɔ.na.sje,,['verbe']
abandonnassions,a.bɑ̃.dɔ.na.sjɔ̃,,['verbe']
abandonnât,a.bɑ̃.dɔ.na,,['verbe']
abandonnataire,a.bɑ̃.do.na.tɛʁ,m,['nom']
abandonnataires,a.bɑ̃.do.na.tɛʁ,m,['nom']
abandonnâtes,a.bɑ̃.dɔ.nat,,['verbe']
abandonne,a.bɑ̃.dɔn,,['verbe']
abandonné,a.bɑ̃.dɔ.ne,m,"['nom', 'verbe', 'adjectif']"
abandonnée,a.bɑ̃.dɔ.ne,f,"['nom', 'verbe', 'adjectif']"
abandonnées,a.bɑ̃.dɔ.ne,f,"['nom', 'verbe', 'adjectif']"
abandonnent,a.bɑ̃.dɔn,,['verbe']
abandonner,a.bɑ̃.dɔ.ne,,['verbe']
abandonnera,a.bɑ̃.dɔn.ʁa,,['verbe']
abandonnerai,a.bɑ̃.dɔ.nə.ʁe,,['verbe']
abandonneraient,a.bɑ̃.dɔ.nə.ʁɛ,,['verbe']
abandonnerais,a.bɑ̃.dɔ.nə.ʁɛ,,['verbe']
abandonnerait,a.bɑ̃.dɔ.nə.ʁɛ,,['verbe']
abandonneras,a.bɑ̃.dɔ.nə.ʁa,,['verbe']
abandonnèrent,a.bɑ̃.dɔ.nɛʁ,,['verbe']
abandonnerez,a.bɑ̃.dɔ.nə.ʁe,,['verbe']
abandonneriez,a.bɑ̃.dɔ.nə.ʁje,,['verbe']
abandonnerions,a.bɑ̃.dɔ.nə.ʁjɔ̃,,['verbe']
abandonnerons,a.bɑ̃.dɔ.nə.ʁɔ̃,,['verbe']
abandonneront,a.bɑ̃.dɔ.nə.ʁɔ̃,,['verbe']
abandonnes,a.bɑ̃.dɔn,,['verbe']
abandonnés,a.bɑ̃.dɔ.ne,,"['verbe', 'adjectif']"
abandonnez,a.bɑ̃.dɔ.ne,,['verbe']
abandonniez,a.bɑ̃.dɔ.nje,,['verbe']
abandonnions,a.bɑ̃.dɔ.njɔ̃,,['verbe']
abandonnons,a.bɑ̃.dɔ.nɔ̃,,['verbe']
abandons,a.bɑ̃.dɔ̃,m,"['nom', 'verbe']"
abaque,a.bak,m,['nom']
abaques,a.bak,m,['nom']
abasourdi,a.ba.zuʁ.di,,"['verbe', 'adjectif']"
abasourdie,a.ba.zuʁ.di,,"['verbe', 'adjectif']"
abasourdies,a.ba.zuʁ.di,,"['verbe', 'adjectif']"
abasourdîmes,a.ba.zuʁ.dim,,['verbe']
abasourdir,ba.zuʁ.diʁ,,['verbe']
abasourdira,a.ba.zuʁ.di.ʁa,,['verbe']
abasourdirai,a.ba.zuʁ.di.ʁe,,['verbe']
abasourdiraient,a.ba.zuʁ.di.ʁɛ,,['verbe']
abasourdirais,a.ba.zuʁ.di.ʁɛ,,['verbe']
abasourdirait,a.ba.zuʁ.di.ʁɛ,,['verbe']
abasourdiras,a.ba.zuʁ.di.ʁa,,['verbe']
abasourdirent,a.ba.zuʁ.diʁ,,['verbe']
abasourdirez,a.ba.zuʁ.di.ʁe,,['verbe']
abasourdiriez,a.ba.zuʁ.di.ʁje,,['verbe']
abasourdirions,a.ba.zuʁ.di.ʁjɔ̃,,['verbe']
abasourdirons,a.ba.zuʁ.di.ʁɔ̃,,['verbe']
abasourdiront,a.ba.zuʁ.di.ʁɔ̃,,['verbe']
abasourdis,a.ba.zuʁ.di,,"['verbe', 'adjectif']"
abasourdissaient,a.ba.zuʁ.di.sɛ,,['verbe']
abasourdissais,a.ba.zuʁ.di.sɛ,,['verbe']
abasourdissait,a.ba.zuʁ.di.sɛ,,['verbe']
abasourdissant,a.ba.zuʁ.di.sɑ̃,,"['verbe', 'adjectif']"
abasourdissante,a.ba.zuʁ.di.sɑ̃,,['adjectif']
abasourdissantes,a.ba.zuʁ.di.sɑ̃,,['adjectif']
abasourdissants,a.ba.zuʁ.di.sɑ̃,,['adjectif']
abasourdisse,a.ba.zuʁ.dis,,['verbe']
abasourdissement,a.ba.zuʁ.dis.mɑ̃,m,['nom']
abasourdissements,a.ba.zuʁ.dis.mɑ̃,m,['nom']
abasourdissent,a.ba.zuʁ.dis,,['verbe']
abasourdisses,a.ba.zuʁ.dis,,['verbe']
abasourdissez,a.ba.zuʁ.di.se,,['verbe']
abasourdissiez,a.ba.zuʁ.di.sje,,['verbe']
abasourdissions,a.ba.zuʁ.di.sjɔ̃,,['verbe']
abasourdissons,a.ba.zuʁ.di.sɔ̃,,['verbe']
abasourdit,a.ba.zuʁ.di,,['verbe']
abasourdît,a.ba.zuʁ.di,,['verbe']
abasourdîtes,a.ba.zuʁ.dit,,['verbe']
abat,a.ba,m,"['nom', 'verbe']"
abatage,a.ba.taʒ,m,['nom']
abatages,a.ba.taʒ,m,['nom']
abâtardi,a.bɑ.taʁ.di,,['verbe']
abâtardie,a.bɑ.taʁ.di,,['verbe']
abâtardies,a.bɑ.taʁ.di,,['verbe']
abâtardîmes,a.bɑ.taʁ.dim,,['verbe']
abâtardir,a.bɑ.taʁ.diʁ,,['verbe']
abâtardira,a.bɑ.taʁ.di.ʁa,,['verbe']
abâtardirai,a.bɑ.taʁ.di.ʁe,,['verbe']
abâtardiraient,a.bɑ.taʁ.di.ʁɛ,,['verbe']
abâtardirais,a.bɑ.taʁ.di.ʁɛ,,['verbe']
abâtardirait,a.bɑ.taʁ.di.ʁɛ,,['verbe']
abâtardiras,a.bɑ.taʁ.di.ʁa,,['verbe']
abâtardirent,a.bɑ.taʁ.diʁ,,['verbe']
abâtardirez,a.bɑ.taʁ.di.ʁe,,['verbe']
abâtardiriez,a.bɑ.taʁ.di.ʁje,,['verbe']
abâtardirions,a.bɑ.taʁ.di.ʁjɔ̃,,['verbe']
abâtardirons,a.bɑ.taʁ.di.ʁɔ̃,,['verbe']
abâtardiront,a.bɑ.taʁ.di.ʁɔ̃,,['verbe']
abâtardis,a.bɑ.taʁ.di,,['verbe']
abâtardissaient,a.bɑ.taʁ.di.sɛ,,['verbe']
abâtardissais,a.bɑ.taʁ.di.sɛ,,['verbe']
abâtardissait,a.bɑ.taʁ.di.sɛ,,['verbe']
abâtardissant,a.bɑ.taʁ.di.sɑ̃,,['verbe']
abâtardisse,a.bɑ.taʁ.dis,,['verbe']
abâtardissement,a.bɑ.taʁ.dis.mɑ̃,m,['nom']
abâtardissements,a.ba.taʁ.dis.mɑ̃,m,['nom']
abâtardissent,a.bɑ.taʁ.dis,,['verbe']
abâtardisses,a.bɑ.taʁ.dis,,['verbe']
abâtardissez,a.bɑ.taʁ.di.se,,['verbe']
abâtardissiez,a.bɑ.taʁ.di.sje,,['verbe']
abâtardissions,a.bɑ.taʁ.di.sjɔ̃,,['verbe']
abâtardissons,a.bɑ.taʁ.di.sɔ̃,,['verbe']
abâtardit,a.bɑ.taʁ.di,,['verbe']
abâtardît,a.bɑ.taʁ.di,,['verbe']
abâtardîtes,a.bɑ.taʁ.dit,,['verbe']
abatée,a.ba.te,f,['nom']
abatées,a.ba.te,f,['nom']
abat-jour,a.ba.ʒuʁ,m,['nom']
abats,a.ba,m,"['nom', 'verbe']"
abattage,a.ba.taʒ,m,['nom']
abattages,a.ba.taʒ,m,['nom']
abattaient,a.ba.tɛ,,['verbe']
abattais,a.ba.tɛ,,['verbe']
abattait,a.ba.tɛ,,['verbe']
abattant,a.ba.tɑ̃,m,"['nom', 'verbe', 'adjectif']"
abattante,a.ba.tɑ̃,,['adjectif']
abattantes,a.ba.tɑ̃,,['adjectif']
abattants,a.ba.tɑ̃,m,"['nom', 'adjectif']"
abatte,a.bat,,"['nom', 'verbe']"
abattée,a.ba.te,f,['nom']
abattées,a.ba.te,f,['nom']
abattement,a.bat.mɑ̃,m,['nom']
abattements,a.bat.mɑ̃,m,['nom']
abattent,a.bat,,['verbe']
abattes,a.bat,,['verbe']
abatteur,a.ba.tœʁ,m,['nom']
abatteurs,a.ba.tœʁ,m,['nom']
abattez,a.ba.te,,['verbe']
abattiez,a.ba.tje,,['verbe']
abattîmes,a.ba.tim,,['verbe']
abattions,a.ba.tjɔ̃,,['verbe']
abattirent,a.ba.tiʁ,,['verbe']
abattis,a.ba.ti,m,"['nom', 'verbe']"
abattisse,a.ba.tis,,['verbe']
abattissent,a.ba.tis,,['verbe']
abattisses,a.ba.tis,,['verbe']
abattissiez,a.ba.ti.sje,,['verbe']
abattissions,a.ba.ti.sjɔ̃,,['verbe']
abattit,a.ba.ti,,['verbe']
abattît,a.ba.ti,,['verbe']
abattîtes,a.ba.tit,,['verbe']
abattoir,a.ba.twaʁ,m,['nom']
abattoirs,a.ba.twaʁ,m,['nom']
abattons,a.ba.tɔ̃,,['verbe']
abattra,a.ba.tʁa,,['verbe']
abattrai,a.ba.tʁe,,['verbe']
abattraient,a.ba.tʁɛ,,['verbe']
abattrais,a.ba.tʁɛ,,['verbe']
abattrait,a.ba.tʁɛ,,['verbe']
abattras,a.ba.tʁa,,['verbe']
abattre,a.batʁ,,['verbe']
abattrez,a.ba.tʁe,,['verbe']
abattriez,a.ba.tʁi.je,,['verbe']
abattrions,a.ba.tʁi.jɔ̃,,['verbe']
abattrons,a.ba.tʁɔ̃,,['verbe']
abattront,a.ba.tʁɔ̃,,['verbe']
abattu,a.ba.ty,m,"['verbe', 'adjectif']"
abattue,a.ba.ty,,"['verbe', 'adjectif']"
abattues,a.ba.ty,,"['verbe', 'adjectif']"
abattus,a.ba.ty,m,"['verbe', 'adjectif']"
abat-vent,a.ba.vɑ̃,m,['nom']
abat-voix,a.ba.vwa,m,['nom']
abbatial,a.ba.sjal,,['adjectif']
abbatiale,a.ba.sjal,f,"['nom', 'adjectif']"
abbatiales,a.ba.sjal,f,"['nom', 'adjectif']"
abbatiaux,a.ba.sjal,,['adjectif']
abbaye,a.be.i,f,['nom']
abbayes,a.be.i,f,['nom']
abbé,a.be,m,['nom']
abbés,a.be,m,['nom']
abbesse,a.bɛs,f,['nom']
abbesses,a.bɛs,f,['nom']
abbevillien,ab.vi.ljɛ̃,,['adjectif']
abbevillienne,ab.vi.ljɛ̃,,['adjectif']
abbevilliennes,ab.vi.ljɛ̃,,['adjectif']
abbevilliens,ab.vi.ljɛ̃,,['adjectif']
abcès,ab.sɛ,m,['nom']
abdicataire,ab.di.ka.tɛʁ,m,['adjectif']
abdicataires,ab.di.ka.tɛʁ,m,['adjectif']
abdication,ab.di.ka.sjɔ̃,f,['nom']
abdications,ab.di.ka.sjɔ̃,f,['nom']
abdiqua,ab.di.ka,,['verbe']
abdiquai,ab.di.ke,,['verbe']
abdiquaient,ab.di.kɛ,,['verbe']
abdiquais,ab.di.kɛ,,['verbe']
abdiquait,ab.di.kɛ,,['verbe']
abdiquâmes,ab.di.kam,,['verbe']
abdiquant,ab.di.kɑ̃,m,"['nom', 'verbe']"
abdiquas,ab.di.ka,,['verbe']
abdiquasse,ab.di.kas,,['verbe']
abdiquassent,ab.di.kas,,['verbe']
abdiquasses,ab.di.kas,,['verbe']
abdiquassiez,ab.di.ka.sje,,['verbe']
abdiquassions,ab.di.ka.sjɔ̃,,['verbe']
abdiquât,ab.di.ka,,['verbe']
abdiquâtes,ab.di.kat,,['verbe']
abdique,ab.dik,,['verbe']
abdiqué,ab.di.ke,,['verbe']
abdiquée,ab.di.ke,,['verbe']
abdiquées,ab.di.ke,,['verbe']
abdiquent,ab.dik,,['verbe']
abdiquer,ab.di.ke,,['verbe']
abdiquera,ab.di.kə.ʁa,,['verbe']
abdiquerai,ab.di.kə.ʁe,,['verbe']
abdiqueraient,ab.di.kə.ʁɛ,,['verbe']
abdiquerais,ab.di.kə.ʁɛ,,['verbe']
abdiquerait,ab.di.kə.ʁɛ,,['verbe']
abdiqueras,ab.di.kə.ʁa,,['verbe']
abdiquèrent,ab.di.kɛʁ,,['verbe']
abdiquerez,ab.di.kə.ʁe,,['verbe']
abdiqueriez,ab.di.kə.ʁje,,['verbe']
abdiquerions,ab.di.kə.ʁjɔ̃,,['verbe']
abdiquerons,ab.di.kə.ʁɔ̃,,['verbe']
abdiqueront,ab.di.kə.ʁɔ̃,,['verbe']
abdiques,ab.dik,,['verbe']
abdiqués,ab.di.ke,,['verbe']
abdiquez,ab.di.ke,,['verbe']
abdiquiez,ab.di.kje,,['verbe']
abdiquions,ab.di.kjɔ̃,,['verbe']
abdiquons,ab.di.kɔ̃,,['verbe']
abdomen,ab.dɔ.mɛn,m,['nom']
abdomens,ab.dɔ.mɛn,m,['nom']
abdominal,ab.dɔ.mi.nal,m,"['nom', 'adjectif']"
abdominale,ab.dɔ.mi.nal,,['adjectif']
abdominales,ab.dɔ.mi.nal,m,['adjectif']
abdominaux,ab.dɔ.mi.nal,m,"['nom', 'adjectif']"
abducteur,ab.dyk.tœʁ,m,"['nom', 'adjectif']"
abducteurs,ab.dyk.tœʁ,m,"['nom', 'adjectif']"
abduction,ab.dyk.sjɔ̃,f,['nom']
abductions,ab.dyk.sjɔ̃,f,"['nom', 'verbe']"
abécédaire,a.be.se.dɛʁ,m,"['nom', 'adjectif']"
abécédaires,a.be.se.dɛʁ,m,"['nom', 'adjectif']"
abeille,a.bɛj,f,['nom']
abeilles,a.bɛj,f,['nom']
aberra,a.bɛ.ʁa,,['verbe']
aberrai,a.bɛ.ʁe,,['verbe']
aberraient,a.bɛ.ʁɛ,,['verbe']
aberrais,a.bɛ.ʁɛ,,['verbe']
aberrait,a.bɛ.ʁɛ,,['verbe']
aberrâmes,a.bɛ.ʁam,,['verbe']
aberrance,a.bɛ.ʁɑ̃s,f,['nom']
aberrances,a.bɛ.ʁɑ̃s,f,['nom']
aberrant,a.bɛ.ʁɑ̃,m,"['verbe', 'adjectif']"
aberrante,a.bɛ.ʁɑ̃,m,['adjectif']
aberrantes,a.bɛ.ʁɑ̃,,['adjectif']
aberrants,a.bɛ.ʁɑ̃,m,['adjectif']
aberras,a.bɛ.ʁa,,['verbe']
aberrasse,a.bɛ.ʁas,,['verbe']
aberrassent,a.bɛ.ʁas,,['verbe']
aberrasses,a.bɛ.ʁas,,['verbe']
aberrassiez,a.bɛ.ʁa.sje,,['verbe']
aberrassions,a.bɛ.ʁa.sjɔ̃,,['verbe']
aberrât,a.bɛ.ʁa,,['verbe']
aberrâtes,a.bɛ.ʁat,,['verbe']
aberration,a.bɛ.ʁa.sjɔ̃,f,['nom']
aberrations,a.bɛ.ʁa.sjɔ̃,f,['nom']
aberre,a.bɛʁ,,['verbe']
aberré,a.bɛ.ʁe,,['verbe']
aberrent,a.bɛʁ,,['verbe']
aberrer,a.be.ʁe,,['verbe']
aberrera,a.bɛ.ʁə.ʁa,,['verbe']
aberrerai,a.bɛ.ʁə.ʁe,,['verbe']
aberreraient,a.bɛ.ʁə.ʁɛ,,['verbe']
aberrerais,a.bɛ.ʁə.ʁɛ,,['verbe']
aberrerait,a.bɛ.ʁə.ʁɛ,,['verbe']
aberreras,a.bɛ.ʁə.ʁa,,['verbe']
aberrèrent,a.bɛ.ʁɛʁ,,['verbe']
aberrerez,a.bɛ.ʁə.ʁe,,['verbe']
aberreriez,a.bɛ.ʁə.ʁje,,['verbe']
aberrerions,a.bɛ.ʁə.ʁjɔ̃,,['verbe']
aberrerons,a.bɛ.ʁə.ʁɔ̃,,['verbe']
aberreront,a.bɛ.ʁə.ʁɔ̃,,['verbe']
aberres,a.bɛʁ,,['verbe']
aberrez,a.bɛ.ʁe,,['verbe']
aberriez,a.bɛ.ʁje,,['verbe']
aberrions,a.bɛ.ʁjɔ̃,,['verbe']
aberrons,a.bɛ.ʁɔ̃,,['verbe']
abêti,a.bɛ.ti,,"['verbe', 'adjectif']"
abêtie,a.bɛ.ti,,"['verbe', 'adjectif']"
abêties,a.bɛ.ti,,"['verbe', 'adjectif']"
abêtîmes,a.bɛ.tim,,['verbe']
abêtir,a.bɛ.tiʁ,,['verbe']
abêtira,a.bɛ.ti.ʁa,,['verbe']
abêtirai,a.bɛ.ti.ʁe,,['verbe']
abêtiraient,a.bɛ.ti.ʁɛ,,['verbe']
abêtirais,a.bɛ.ti.ʁɛ,,['verbe']
abêtirait,a.bɛ.ti.ʁɛ,,['verbe']
abêtiras,a.bɛ.ti.ʁa,,['verbe']
abêtirent,a.bɛ.tiʁ,,['verbe']
abêtirez,a.bɛ.ti.ʁe,,['verbe']
abêtiriez,a.bɛ.ti.ʁje,,['verbe']
abêtirions,a.bɛ.ti.ʁjɔ̃,,['verbe']
abêtirons,a.bɛ.ti.ʁɔ̃,,['verbe']
abêtiront,a.bɛ.ti.ʁɔ̃,,['verbe']
abêtis,a.bɛ.ti,,"['verbe', 'adjectif']"
abêtissaient,a.bɛ.ti.sɛ,,['verbe']
abêtissais,a.bɛ.ti.sɛ,,['verbe']
abêtissait,a.bɛ.ti.sɛ,,['verbe']
abêtissant,a.bɛ.ti.sɑ̃,,"['verbe', 'adjectif']"
abêtissante,a.bɛ.ti.sɑ̃t,,['adjectif']
abêtissantes,a.bɛ.ti.sɑ̃t,,['adjectif']
abêtissants,a.bɛ.ti.sɑ̃,,['adjectif']
abêtisse,a.bɛ.tis,,['verbe']
abêtissement,a.bɛ.tis.mɑ̃,m,['nom']
abêtissements,a.bɛ.tis.mɑ̃,m,['nom']
abêtissent,a.bɛ.tis,,['verbe']
abêtisses,a.bɛ.tis,,['verbe']
abêtissez,a.bɛ.ti.se,,['verbe']
abêtissiez,a.bɛ.ti.sje,,['verbe']
abêtissions,a.bɛ.ti.sjɔ̃,,['verbe']
abêtissons,a.bɛ.ti.sɔ̃,,['verbe']
abêtit,a.be.ti,,['verbe']
abêtît,a.bɛ.ti,,['verbe']
abêtîtes,a.bɛ.tit,,['verbe']
abhorra,a.bɔ.ʁa,,['verbe']
abhorrai,a.bɔ.ʁe,,['verbe']
abhorraient,a.bɔ.ʁɛ,,['verbe']
abhorrais,a.bɔ.ʁɛ,,['verbe']
abhorrait,a.bɔ.ʁɛ,,['verbe']
abhorrâmes,a.bɔ.ʁam,,['verbe']
abhorrant,a.bɔ.ʁɑ̃,,['verbe']
abhorras,a.bɔ.ʁa,,['verbe']
abhorrasse,a.bɔ.ʁas,,['verbe']
abhorrassent,a.bɔ.ʁas,,['verbe']
abhorrasses,a.bɔ.ʁas,,['verbe']
abhorrassiez,a.bɔ.ʁa.sje,,['verbe']
abhorrassions,a.bɔ.ʁa.sjɔ̃,,['verbe']
abhorrât,a.bɔ.ʁa,,['verbe']
abhorrâtes,a.bɔ.ʁat,,['verbe']
abhorre,a.bɔʁ,,['verbe']
abhorré,a.bɔ.ʁe,,"['verbe', 'adjectif']"
abhorrée,a.bɔ.ʁe,,"['verbe', 'adjectif']"
abhorrées,a.bɔ.ʁe,,"['verbe', 'adjectif']"
abhorrent,a.bɔʁ,,['verbe']
abhorrer,a.bɔ.ʁe,,['verbe']
abhorrera,a.bɔ.ʁə.ʁa,,['verbe']
abhorrerai,a.bɔ.ʁə.ʁe,,['verbe']
abhorreraient,a.bɔ.ʁə.ʁɛ,,['verbe']
abhorrerais,a.bɔ.ʁə.ʁɛ,,['verbe']
abhorrerait,a.bɔ.ʁə.ʁɛ,,['verbe']
abhorreras,a.bɔ.ʁə.ʁa,,['verbe']
abhorrèrent,a.bɔ.ʁɛʁ,,['verbe']
abhorrerez,a.bɔ.ʁə.ʁe,,['verbe']
abhorreriez,a.bɔ.ʁə.ʁje,,['verbe']
abhorrerions,a.bɔ.ʁə.ʁjɔ̃,,['verbe']
abhorrerons,a.bɔ.ʁə.ʁɔ̃,,['verbe']
abhorreront,a.bɔ.ʁə.ʁɔ̃,,['verbe']
abhorres,a.bɔʁ,,['verbe']
abhorrés,a.bɔ.ʁe,,"['verbe', 'adjectif']"
abhorrez,a.bɔ.ʁe,,['verbe']
abhorriez,a.bɔ.ʁje,,['verbe']
abhorrions,a.bɔ.ʁjɔ̃,,['verbe']
abhorrons,a.bɔ.ʁɔ̃,,['verbe']
abîma,a.bi.ma,,['verbe']
abîmai,a.bi.me,,['verbe']
abîmaient,a.bi.mɛ,,['verbe']
abîmais,a.bi.mɛ,,['verbe']
abîmait,a.bi.mɛ,,['verbe']
abîmâmes,a.bi.mam,,['verbe']
abîmant,a.bi.mɑ̃,,"['verbe', 'adjectif']"
abîmas,a.bi.ma,,['verbe']
abîmasse,a.bi.mas,,['verbe']
abîmassent,a.bi.mas,,['verbe']
abîmasses,a.bi.mas,,['verbe']
abîmassiez,a.bi.ma.sje,,['verbe']
abîmassions,a.bi.ma.sjɔ̃,,['verbe']
abîmât,a.bi.ma,,['verbe']
abîmâtes,a.bi.mat,,['verbe']
abîme,a.bim,m,"['nom', 'verbe']"
abîmé,a.bi.me,m,"['verbe', 'adjectif']"
abîmée,a.bi.me,,"['verbe', 'adjectif']"
abîmées,a.bi.me,,"['verbe', 'adjectif']"
abîment,a.bim,,['verbe']
abîmer,a.bi.me,,['verbe']
abîmera,a.bi.mə.ʁa,,['verbe']
abîmerai,a.bi.mə.ʁe,,['verbe']
abîmeraient,a.bi.mə.ʁɛ,,['verbe']
abîmerais,a.bi.mə.ʁɛ,,['verbe']
abîmerait,a.bi.mə.ʁɛ,,['verbe']
abîmeras,a.bi.mə.ʁa,,['verbe']
abîmèrent,a.bi.mɛʁ,,['verbe']
abîmerez,a.bi.mə.ʁe,,['verbe']
abîmeriez,a.bi.mə.ʁje,,['verbe']
abîmerions,a.bi.mə.ʁjɔ̃,,['verbe']
abîmerons,a.bi.mə.ʁɔ̃,,['verbe']
abîmeront,a.bi.mə.ʁɔ̃,,['verbe']
abîmes,a.bim,m,"['nom', 'verbe']"
abîmés,a.bi.me,,"['verbe', 'adjectif']"
abîmez,a.bi.me,,['verbe']
abîmiez,a.bi.mje,,['verbe']
abîmions,a.bi.mjɔ̃,,['verbe']
abîmons,a.bi.mɔ̃,,['verbe']
abiotique,a.bjɔ.tik,m,['adjectif']
abiotiques,a.bjɔ.tik,m,['adjectif']
abject,ab.ʒɛ,m,"['nom', 'adjectif']"
abjecte,ab.ʒɛkt,m,['adjectif']
abjectement,ab.ʒɛk.tə.mɑ̃,,['adverbe']
abjectes,ab.ʒɛkt,,['adjectif']
abjection,ab.ʒɛk.sjɔ̃,f,['nom']
abjections,ab.ʒɛk.sjɔ̃,f,['nom']
abjects,ab.ʒɛkt,m,"['nom', 'adjectif']"
abjura,ab.ʒy.ʁa,,['verbe']
abjurai,ab.ʒy.ʁe,,['verbe']
abjuraient,ab.ʒy.ʁɛ,,['verbe']
abjurais,ab.ʒy.ʁɛ,,['verbe']
abjurait,ab.ʒy.ʁɛ,,['verbe']
abjurâmes,ab.ʒy.ʁam,,['verbe']
abjurant,ab.ʒy.ʁɑ̃,,['verbe']
abjuras,ab.ʒy.ʁa,,['verbe']
abjurasse,ab.ʒy.ʁas,,['verbe']
abjurassent,ab.ʒy.ʁas,,['verbe']
abjurasses,ab.ʒy.ʁas,,['verbe']
abjurassiez,ab.ʒy.ʁa.sje,,['verbe']
abjurassions,ab.ʒy.ʁa.sjɔ̃,,['verbe']
abjurât,ab.ʒy.ʁa,,['verbe']
abjurâtes,ab.ʒy.ʁat,,['verbe']
abjuration,ab.ʒy.ʁa.sjɔ̃,f,['nom']
abjurations,ab.ʒy.ʁa.sjɔ̃,f,['nom']
abjure,ab.ʒyʁ,,['verbe']
abjuré,ab.ʒy.ʁe,,['verbe']
abjurée,ab.ʒy.ʁe,,['verbe']
abjurées,ab.ʒy.ʁe,,['verbe']
abjurent,ab.ʒyʁ,,['verbe']
abjurer,ab.ʒy.ʁe,,['verbe']
abjurera,ab.ʒy.ʁə.ʁa,,['verbe']
abjurerai,ab.ʒy.ʁə.ʁe,,['verbe']
abjureraient,ab.ʒy.ʁə.ʁɛ,,['verbe']
abjurerais,ab.ʒy.ʁə.ʁɛ,,['verbe']
abjurerait,ab.ʒy.ʁə.ʁɛ,,['verbe']
abjureras,ab.ʒy.ʁə.ʁa,,['verbe']
abjurèrent,ab.ʒy.ʁɛʁ,,['verbe']
abjurerez,ab.ʒy.ʁə.ʁe,,['verbe']
abjureriez,ab.ʒy.ʁə.ʁje,,['verbe']
abjurerions,ab.ʒy.ʁə.ʁjɔ̃,,['verbe']
abjurerons,ab.ʒy.ʁə.ʁɔ̃,,['verbe']
